respondent_id,age,sex,education,marital_status,household_id,household_role,district_code,cluster_id,enumerator_id,working_hours,income,employment_status,household_size,survey_round,notes
T005,32,F,secondary,never married,HT005,member,1103,C10,E20,0,500,unemployed,3,2024Q2,temporal
T006,32,F,secondary,never married,HT006,member,1103,C10,E20,0,500,unemployed,3,2024Q2,temporal
T007,32,F,secondary,never married,HT007,member,1103,C10,E20,0,500,unemployed,3,2024Q2,temporal
T008,32,F,secondary,never married,HT008,member,1103,C10,E20,0,500,unemployed,3,2024Q2,temporal
T009,32,F,secondary,never married,HT009,member,1103,C10,E20,0,500,unemployed,3,2024Q2,temporal
T010,32,F,secondary,never married,HT010,member,1103,C10,E20,0,500,unemployed,3,2024Q2,temporal
T011,32,F,secondary,never married,HT011,member,1103,C10,E20,0,500,unemployed,3,2024Q2,temporal
T012,32,F,secondary,never married,HT012,member,1103,C10,E20,0,500,unemployed,3,2024Q2,temporal
R049,16,F,postgraduate,married,HR049,head,1101,C01,E12,40,12000,employed,3,2024Q1,age_marital_edu
R050,42,M,secondary,never married,HR050,member,1101,C01,E12,40,500000,employed,4,2024Q1,extreme_income
R051,14,M,secondary,never married,HR051,head,1101,C01,E12,0,0,unemployed,3,2024Q1,young_head
R052,40,F,secondary,never married,HHX,head,1101,C01,E12,40,13000,employed,5,2024Q1,dual_head_a
R053,38,M,secondary,married,HHX,head,1101,C01,E12,38,12800,employed,5,2024Q1,dual_head_b
R054,45,M,secondary,married,HR054,member,1101,C01,E12,0,90000,unemployed,3,2024Q1,income_unemployed
